timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958597, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958598, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958599, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958600, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958601, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958602, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958603, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958604, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958605, cong_win=2754, send_adv_win=64158
timestamp=1773211958606, cong_win=2754, send_adv_win=64158
